,Time for HR (s),HR (BPM),Avg HR (BPM)
129,108.528,74.25742574257492,72.27226366125667
130,109.336,76.53061224489737,72.40619223268526
131,110.12,75.00000000000027,72.53245485894789
132,110.92,74.25742574257492,72.60117393536349
133,111.728,74.99999999999893,72.68607959574088
134,112.528,74.25742574257492,72.72729593572986
135,113.336,72.11538461538393,72.86901929173894
136,114.168,73.52941176470694,73.05537250274813
137,114.984,72.11538461538393,73.22254575502774
138,115.816,70.09345794392569,73.47683374864563
139,116.672,69.4444444444441,73.76735362632148
140,117.536,68.80733944954129,74.01892595336551
141,118.408,68.18181818181853,74.28116371560323
142,119.288,68.18181818181743,74.52939849053702
143,120.168,67.56756756756825,74.7633557097884
144,121.056,66.37168141592947,74.94874896821533
145,121.96,66.96428571428565,75.09403523597257
146,122.856,65.78947368421008,75.1878340895421
147,123.768,67.56756756756717,75.27791516250781
148,124.656,66.96428571428565,75.39810747020012
149,125.552,66.96428571428672,75.39810747020012
150,126.448,78.12499999999993,75.4129589553486
151,127.216,74.25742574257362,75.34916310207906
152,128.024,78.94736842105358,75.20081145372744
153,128.784,79.78723404255217,75.11676842369606
154,129.536,78.12499999999993,75.19905940460455
155,130.304,75.75757575757561,75.27641088975305
156,131.096,73.52941176470566,75.32474601327618
157,131.912,75.0000000000016,75.45518079588489
158,132.712,72.81553398058144,75.58293550683983
159,133.536,76.53061224489876,75.69583873264631
160,134.32,78.12499999999993,75.89608347622173
161,135.088,79.78723404255217,76.03272315233512
162,135.84,81.52173913043589,76.19256969964964
163,136.576,83.33333333333347,76.38069678995068
164,137.296,83.33333333333347,76.52521938364947
165,138.016,85.2272727272718,76.62147900961209
166,138.72,85.2272727272718,76.71592045591538
167,139.424,85.22727272727523,76.8085947718907
168,140.128,84.26966292134624,77.02390577667535
169,140.84,81.52173913043589,77.25150179374505
170,141.576,78.94736842105063,77.55450294803518
171,142.336,77.31958762886777,77.81096191460051
172,143.112,78.12499999999993,78.1805656993433
173,143.88,71.42857142857113,78.49588101465864
174,144.72,74.99999999999893,78.78703008298156
175,145.52,75.75757575757561,78.9941361212732
176,146.312,75.0000000000016,79.04453934707965
177,147.112,77.31958762886494,79.10578258480547
178,147.888,80.6451612903226,79.10578258480547
179,148.632,78.12499999999993,79.07253790395443
180,149.4,78.94736842105358,79.14047268656309
181,150.16,81.52173913043589,79.23822439721802
182,150.896,80.6451612903226,79.36338084277502
183,151.64,80.6451612903226,79.45912552362603
184,152.384,84.26966292134624,79.68820810244138
185,153.096,78.94736842105358,79.75334053839445
186,153.856,81.52173913043275,79.82127532100317
187,154.592,81.52173913043589,79.83843386595859
188,155.328,77.31958762886494,79.89339234177679
189,156.104,74.25742574257492,79.87507732346182
190,156.912,73.52941176470566,79.89380391522207
191,157.728,72.81553398058395,79.78500314152774
192,158.552,78.94736842105063,79.69336091278876
193,159.312,78.94736842105358,79.50396697339477
194,160.072,81.52173913043589,79.41431839581888
195,160.808,79.78723404255217,79.34638361321016
196,161.56,84.2696629213496,79.39787102739788
197,162.272,83.33333333333347,79.48191405742918
198,162.992,81.52173913043275,79.6239595119746
199,163.728,77.31958762886777,79.8258228660119
200,164.504,80.6451612903226,80.01121612443893
201,165.248,77.31958762886494,80.07501197770841
202,166.024,78.94736842105358,80.18791520351483
203,166.784,78.12499999999993,80.22047081935861
204,167.552,81.52173913043275,80.18651496197323
205,168.288,80.6451612903226,80.21975964282427
206,169.032,79.7872340425552,80.25371550020965
207,169.784,79.78723404255217,80.2899473842676
208,170.536,84.2696629213496,80.36243741688816
209,171.248,79.78723404255217,80.47367212211617
210,172.0,81.52173913043589,80.51241679472373
211,172.736,80.6451612903226,80.7191837120169
212,173.48,84.26966292134624,80.81288686044273
213,174.192,82.41758241758465,80.88699753237951
214,174.92,84.26966292134624,81.04515123434766
215,175.632,79.7872340425552,81.24539597792314
216,176.384,80.6451612903226,81.47935319717448
217,177.128,75.75757575757561,81.72758797210821
218,177.92,79.78723404255217,81.9343548894015
219,178.672,78.12499999999993,82.12011340333335
220,179.44,81.52173913043589,82.21381655175914
221,180.176,81.52173913043275,82.40378615662237
222,180.912,85.2272727272718,82.42293835274081
223,181.616,81.52173913043589,82.48040961710863
224,182.352,84.2696629213496,82.49832648285168
225,183.064,78.94736842105063,82.67607266130874
226,183.824,80.6451612903226,82.74856269392927
227,184.568,78.94736842105358,82.78111830977305
228,185.328,78.94736842105358,82.86883760801864
229,186.088,79.78723404255217,82.9192408338251
230,186.84,80.6451612903226,82.95547271788311
231,187.584,83.33333333333347,83.00923615874333
232,188.304,84.2696629213496,83.11803693243766
233,189.016,86.2068965517244,83.11803693243766
234,189.712,86.2068965517244,82.97903542658801
235,190.408,89.2857142857109,82.96223811415798
236,191.08,86.2068965517244,82.86241557644726
237,191.776,85.22727272727523,82.84525703149185
238,192.48,85.2272727272718,82.77276699887138
239,193.184,84.2696629213496,82.80980860894665
240,193.896,85.2272727272718,82.7373185763262
241,194.6,85.2272727272718,82.86571182650958
242,195.304,89.28571428571468,82.9194752673698
243,195.976,88.23529411764618,83.08971701064522
244,196.656,86.2068965517244,83.02458457469214
245,197.352,89.28571428571468,83.11043622304378
246,198.024,85.2272727272718,83.04250144043505
247,198.728,86.2068965517244,83.02496988363286
248,199.424,82.41758241758465,82.86681618166477
249,200.152,86.20689655172087,82.88473304740768
250,200.848,84.2696629213496,82.79508446983175
251,201.56,78.94736842105358,82.82904032721717
252,202.32,83.33333333333347,82.86448874976242
253,203.04,80.6451612903226,82.88128606219239
254,203.784,83.33333333333347,82.91524191957777
255,204.504,83.33333333333347,82.94993202133544
256,205.224,85.2272727272718,83.04157425007443
257,205.928,79.78723404255217,82.9706522642588
258,206.68,77.31958762886777,82.98980446037731
259,207.456,78.94736842105063,82.95105978776975
260,208.216,76.53061224489876,82.91231511516226
261,209.0,79.78723404255217,82.73950405525449
262,209.752,80.6451612903226,82.70075938264694
263,210.496,84.2696629213496,82.64456557645312
264,211.208,80.6451612903226,82.60668678857435
265,211.952,86.2068965517244,82.60668678857428
266,212.648,83.33333333333347,82.58753459245582
267,213.368,84.26966292134624,82.5683823963374
268,214.08,76.53061224489876,82.43101975897474
269,214.864,82.41758241758144,82.39045180765628
270,215.592,78.12499999999993,82.37085933116725
271,216.36,80.6451612903226,82.32933109196459
272,217.104,77.31958762886777,82.41049992313347
273,217.88,82.41758241758144,82.41049992313339
274,218.608,79.78723404255217,82.50633432129337
275,219.36,80.6451612903226,82.4488630569256
276,220.104,82.41758241758465,82.50765584501026
277,220.832,79.78723404255217,82.4912084765892
278,221.584,80.6451612903226,82.4912084765892
279,222.328,81.52173913043589,82.52665689913438
280,223.064,85.2272727272718,82.47289345827416
281,223.768,79.78723404255217,82.47289345827416
282,224.52,85.22727272727523,82.43501467039539
283,225.224,84.26966292134624,82.58345603605592
284,225.936,84.2696629213496,82.70373095014524
285,226.648,80.6451612903226,82.82932903626974
286,227.392,84.26966292134624,83.04290283788333
287,228.104,82.41758241758465,83.09550980538401
288,228.832,83.33333333333347,83.14927324624415
289,229.552,84.26966292134624,83.13054665448382
290,230.264,84.2696629213496,83.24178135971188
291,230.976,84.2696629213496,83.22218888322288
292,231.688,82.41758241758144,83.16842544236268
293,232.416,86.2068965517244,83.20717011497022
294,233.112,85.2272727272718,83.23905787007224
295,233.816,87.2093023255829,83.23905787007226
296,234.504,89.28571428571468,83.34322453673893
297,235.176,86.20689655172087,83.3786729592841
298,235.872,87.2093023255829,83.4280258875578
299,236.56,83.33333333333347,83.39257746501262
300,237.28,87.2093023255829,83.46349945082824
301,237.968,78.12499999999993,83.42954359344287
302,238.736,83.33333333333347,83.41162672769988
303,239.456,82.41758241758144,83.4116267276999
